               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.048576,            0.056378,            0.015483,              0.7992,             0.76612,             0.74915,             0.41671,            0.047516,            0.045765,            0.013661,            0.006436,            0.006436,            0.006436
                  38,            0.050125,            0.055533,            0.015093,              0.8462,              0.7729,             0.76937,             0.43262,            0.049294,            0.045998,            0.013554,            0.006337,            0.006337,            0.006337
                  39,            0.051785,            0.056502,            0.014416,              0.7716,             0.76419,             0.75576,             0.43982,            0.049163,            0.046402,            0.013296,            0.006238,            0.006238,            0.006238
                  40,            0.047024,            0.056902,            0.014292,             0.86125,             0.78295,             0.77228,             0.44774,            0.046425,             0.04631,            0.013004,            0.006139,            0.006139,            0.006139
                  41,            0.046742,            0.053271,            0.014544,             0.79001,             0.77896,             0.76838,             0.42658,            0.045904,            0.045845,            0.012817,             0.00604,             0.00604,             0.00604
                  42,            0.047279,            0.056449,            0.014164,             0.85034,             0.76896,             0.77881,             0.46911,            0.046043,            0.045757,            0.012655,            0.005941,            0.005941,            0.005941
                  43,            0.046817,            0.054715,            0.013702,             0.86263,             0.77391,             0.76048,             0.46299,            0.044623,            0.045242,            0.012243,            0.005842,            0.005842,            0.005842
                  44,            0.045296,            0.052138,            0.013586,             0.85414,             0.77066,             0.77428,             0.47603,            0.044318,            0.044708,            0.012018,            0.005743,            0.005743,            0.005743
                  45,            0.045617,            0.052939,            0.013437,             0.88215,             0.77078,              0.7774,             0.47212,            0.044978,            0.044178,            0.011878,            0.005644,            0.005644,            0.005644
                  46,            0.044089,              0.0527,            0.012727,              0.9334,             0.77393,             0.78215,             0.47955,            0.044508,            0.044285,            0.011889,            0.005545,            0.005545,            0.005545
                  47,            0.044999,            0.052325,             0.01321,             0.93841,             0.76443,              0.7856,             0.48172,            0.043049,             0.04353,            0.011523,            0.005446,            0.005446,            0.005446
                  48,            0.043811,            0.053532,            0.012649,             0.92232,              0.7688,             0.78623,             0.48791,            0.041605,            0.042904,            0.011552,            0.005347,            0.005347,            0.005347
                  49,             0.04242,            0.050769,            0.012826,             0.92698,             0.76692,             0.78951,             0.53045,            0.039119,            0.042042,            0.011414,            0.005248,            0.005248,            0.005248
                  50,            0.042239,             0.05181,            0.012491,             0.87026,             0.76648,             0.76131,             0.45614,            0.044747,             0.04475,            0.011567,            0.005149,            0.005149,            0.005149
                  51,            0.044243,            0.049751,            0.012548,             0.91227,             0.77026,             0.79144,             0.52322,            0.040853,            0.043922,            0.011416,             0.00505,             0.00505,             0.00505
                  52,            0.042872,            0.052557,            0.012089,             0.95036,             0.77476,             0.79229,             0.54385,            0.040353,            0.043411,            0.011357,            0.004951,            0.004951,            0.004951
                  53,            0.042092,            0.050679,             0.01196,              0.9709,             0.77163,             0.79393,             0.51886,            0.039046,            0.043072,             0.01124,            0.004852,            0.004852,            0.004852
                  54,            0.042832,            0.052336,            0.012407,             0.95773,             0.78013,             0.79531,             0.51324,            0.041203,             0.04372,            0.011043,            0.004753,            0.004753,            0.004753
                  55,            0.043554,            0.055444,            0.011605,             0.97413,             0.78261,             0.79834,             0.51844,            0.041346,            0.043751,            0.010849,            0.004654,            0.004654,            0.004654
                  56,             0.04074,            0.049499,            0.011359,             0.96297,             0.78222,             0.79828,             0.55777,            0.037384,            0.042267,             0.01075,            0.004555,            0.004555,            0.004555
                  57,             0.03876,            0.046091,            0.011036,             0.95254,             0.77868,             0.79985,             0.55874,            0.037985,            0.041489,            0.010276,            0.004456,            0.004456,            0.004456
