epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1707.79,0.67941,1.09202,0.40621,0.85325,0.9153,0.84617,0.87908,0.68465,0.7806,0.75842,0.74823,0.45539,0.70134,1.17056,0.43089,0.85369,0.00571493,0.00571493,0.00571493
31,1764.19,0.67947,1.08699,0.40569,0.84756,0.90831,0.85688,0.88464,0.68592,0.76258,0.75605,0.73976,0.44532,0.70502,1.18311,0.43344,0.85269,0.00556716,0.00556716,0.00556716
32,1821.22,0.66601,1.0816,0.39739,0.85012,0.90877,0.86223,0.8902,0.6853,0.78859,0.7812,0.77999,0.47227,0.69349,1.17556,0.43086,0.84634,0.0054194,0.0054194,0.0054194
33,1878.54,0.66955,1.07825,0.39419,0.84911,0.89222,0.85024,0.88276,0.68795,0.80384,0.77713,0.7838,0.48897,0.68774,1.15565,0.42568,0.84471,0.00527164,0.00527164,0.00527164
34,1936.08,0.67099,1.07485,0.39609,0.84833,0.89197,0.86588,0.88536,0.69433,0.78251,0.76203,0.76031,0.46518,0.68318,1.17408,0.41368,0.84918,0.00512388,0.00512388,0.00512388
35,1992.63,0.66374,1.07506,0.3943,0.84865,0.89544,0.84869,0.87876,0.69337,0.78775,0.76721,0.76011,0.46772,0.67032,1.17145,0.41392,0.84645,0.00497612,0.00497612,0.00497612
36,2050.49,0.64507,1.05347,0.38609,0.84423,0.92417,0.85374,0.8901,0.69708,0.79323,0.77314,0.76566,0.47703,0.6735,1.16831,0.42037,0.84802,0.00482836,0.00482836,0.00482836
37,2107.26,0.65133,1.04879,0.38414,0.8464,0.92095,0.85055,0.8881,0.69366,0.78334,0.75832,0.75315,0.47178,0.66842,1.1435,0.41273,0.84526,0.0046806,0.0046806,0.0046806
38,2163.01,0.64932,1.06942,0.38396,0.8448,0.88091,0.86051,0.8853,0.6934,0.79441,0.76461,0.77196,0.47959,0.66768,1.15049,0.41616,0.84425,0.00453284,0.00453284,0.00453284
39,2219.48,0.64293,1.04887,0.38082,0.84198,0.89024,0.86305,0.88586,0.69387,0.78244,0.77891,0.77538,0.47912,0.67275,1.13744,0.41776,0.84718,0.00438507,0.00438507,0.00438507
40,2277.01,0.63827,1.04725,0.37774,0.84362,0.88291,0.86143,0.88797,0.69284,0.78856,0.75997,0.76215,0.47779,0.67445,1.16484,0.40752,0.84774,0.00423731,0.00423731,0.00423731
41,2331.76,0.63994,1.05062,0.37689,0.84374,0.88452,0.86421,0.88528,0.6948,0.78178,0.78072,0.7805,0.4868,0.67906,1.16542,0.41163,0.84947,0.00408955,0.00408955,0.00408955
